Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay
5,1,62,8,Tuesday
2,0,10,1,Saturday
2,0,16,8,Sunday
6,0,83,1,Monday
3,1,23,1,Sunday
2,1,40,2,Thursday
3,0,7,8,Tuesday
2,0,59,7,Friday
1,1,20,1,Sunday
2,0,26,1,Friday
3,1,34,5,Sunday
6,0,94,9,Sunday
2,0,7,4,Saturday
6,1,54,1,Monday
4,0,36,5,Saturday
1,0,34,4,Saturday
1,0,41,1,Friday
6,1,56,1,Monday
1,2,14,1,Friday
6,0,1,2,Monday
2,0,69,5,Saturday
1,0,3,1,Saturday
3,0,0,1,Friday
1,0,4,1,Saturday
2,1,7,3,Friday
1,0,81,9,Monday
6,0,100,9,Monday
3,0,18,9,Friday
2,0,38,1,Saturday
4,1,0,8,Tuesday
1,1,10,6,Thursday
1,0,7,6,Friday
2,2,72,6,Sunday
3,0,80,1,Tuesday
1,2,9,4,Thursday
2,0,7,1,Saturday
1,0,42,5,Wednesday
3,2,29,2,Friday
6,0,19,3,Friday
1,2,32,3,Saturday
2,2,48,6,Friday
4,0,84,5,Friday
6,2,2,4,Tuesday
2,0,0,2,Friday
3,1,62,3,Saturday
5,0,19,1,Thursday
1,1,99,2,Friday
5,1,52,2,Friday
4,2,25,8,Thursday
1,1,19,2,Sunday
5,0,92,2,Sunday
2,1,99,8,Saturday
2,0,95,2,Saturday
3,0,5,4,Sunday
4,1,79,6,Sunday
6,0,83,1,Friday
4,0,71,8,Friday
3,0,2,9,Saturday
1,1,1,1,Saturday
1,0,1,9,Saturday
1,0,55,4,Saturday
1,0,1,4,Tuesday
1,0,85,2,Friday
2,1,2,8,Friday
5,2,10,1,Friday
4,2,2,4,Friday
5,0,62,1,Sunday
1,0,72,8,Thursday
3,0,57,8,Tuesday
1,2,3,6,Monday
2,2,45,4,Friday
1,2,64,1,Friday
6,1,30,6,Friday
1,2,1,8,Saturday
6,1,46,1,Friday
5,1,0,5,Saturday
1,2,58,7,Friday
1,2,94,4,Wednesday
2,1,4,3,Friday
4,0,36,1,Friday
2,1,0,2,Friday
1,0,33,8,Saturday
1,1,39,5,Monday
1,1,69,4,Wednesday
1,0,58,1,Friday
3,0,21,1,Thursday
1,2,90,3,Monday
2,0,10,1,Wednesday
1,2,52,1,Friday
6,0,9,2,Wednesday
1,0,65,4,Friday
1,1,1,7,Friday
6,1,70,7,Wednesday
1,2,7,1,Tuesday
2,1,41,6,Thursday
6,0,45,1,Tuesday
1,0,26,2,Saturday
2,0,64,5,Saturday
2,0,1,2,Friday
2,2,21,1,Sunday
2,0,25,6,Friday
1,2,3,8,Sunday
1,1,44,1,Saturday
1,0,68,3,Friday
2,0,93,6,Friday
3,0,52,9,Wednesday
2,0,10,3,Tuesday
1,0,75,4,Sunday
2,2,87,5,Monday
3,0,69,2,Friday
3,1,42,8,Monday
4,1,57,6,Tuesday
6,0,75,2,Wednesday
1,0,36,1,Saturday
2,0,36,7,Saturday
2,2,10,2,Thursday
1,1,76,1,Friday
2,0,18,1,Saturday
4,0,83,1,Friday
3,0,34,3,Tuesday
5,0,9,1,Saturday
1,0,91,7,Wednesday
4,0,51,3,Saturday
3,0,89,1,Friday
1,1,52,2,Saturday
1,1,32,7,Wednesday
6,0,13,4,Monday
6,1,8,5,Sunday
4,2,75,8,Wednesday
4,2,3,4,Saturday
6,2,45,3,Saturday
5,0,83,1,Sunday
4,1,37,5,Monday
2,2,45,5,Thursday
4,0,18,1,Saturday
1,2,1,5,Sunday
1,0,95,8,Tuesday
5,1,14,4,Friday
1,0,11,1,Sunday
5,1,16,4,Friday
2,1,18,5,Sunday
1,0,23,1,Tuesday
4,0,29,1,Monday
5,0,92,4,Saturday
5,0,32,5,Saturday
3,2,41,1,Saturday
6,1,13,3,Friday
3,1,38,2,Monday
1,0,38,3,Thursday
2,1,81,6,Friday
6,0,37,2,Friday
1,2,35,1,Saturday
1,0,12,3,Tuesday
6,0,96,8,Friday
3,0,57,6,Sunday
4,0,47,4,Wednesday
5,0,2,4,Thursday
6,1,0,4,Thursday
1,1,80,4,Saturday
4,0,71,4,Monday
4,2,0,8,Sunday
2,0,31,6,Saturday
4,0,7,8,Monday
1,2,16,2,Wednesday
1,0,99,2,Friday
4,0,4,1,Saturday
1,0,21,2,Friday
3,1,26,2,Saturday
2,0,77,4,Thursday
5,0,30,6,Sunday
1,0,42,9,Friday
1,0,58,1,Friday
2,0,36,1,Monday
4,1,80,5,Wednesday
3,0,53,9,Saturday
3,0,80,5,Monday
5,1,14,5,Wednesday
1,0,23,1,Friday
1,1,49,1,Sunday
6,0,0,2,Sunday
1,0,61,3,Thursday
1,1,18,3,Thursday
1,1,15,2,Saturday
1,2,3,1,Saturday
1,0,17,2,Wednesday
4,0,79,4,Saturday
3,0,37,2,Saturday
4,1,44,1,Saturday
4,0,87,4,Tuesday
6,0,6,2,Friday
2,0,0,1,Friday
1,2,77,3,Thursday
2,2,7,1,Saturday
1,0,32,2,Friday
2,0,1,6,Friday
1,0,63,1,Sunday
3,0,73,5,Thursday
3,0,1,4,Tuesday
1,2,92,2,Wednesday
3,0,17,9,Friday
2,1,3,1,Saturday
3,0,46,5,Wednesday
1,1,96,5,Tuesday
4,2,7,8,Wednesday
5,0,13,2,Friday
1,0,0,6,Saturday
5,2,96,1,Friday
1,0,15,1,Thursday
4,0,76,4,Saturday
3,0,47,6,Thursday
1,2,5,2,Tuesday
3,0,38,3,Saturday
6,0,52,4,Wednesday
1,2,7,1,Sunday
2,0,80,9,Monday
6,1,53,7,Thursday
1,2,21,8,Tuesday
1,0,78,1,Friday
4,0,89,2,Saturday
1,0,33,2,Tuesday
2,0,7,1,Monday
1,1,97,6,Tuesday
1,0,1,2,Wednesday
2,1,65,3,Saturday
3,0,1,1,Wednesday
3,0,13,1,Wednesday
6,1,70,5,Tuesday
1,0,0,1,Friday
3,1,0,8,Saturday
4,1,90,1,Monday
4,1,57,1,Saturday
2,0,45,2,Wednesday
1,0,38,3,Saturday
1,0,8,2,Saturday
2,0,4,7,Saturday
1,1,52,2,Sunday
2,0,0,5,Sunday
1,0,58,2,Monday
4,0,39,2,Sunday
1,2,74,3,Tuesday
3,0,19,1,Sunday
4,1,33,7,Sunday
1,0,8,4,Thursday
1,1,55,1,Wednesday
5,2,84,6,Tuesday
6,0,34,1,Monday
1,0,94,7,Sunday
2,0,44,1,Saturday
2,2,1,4,Wednesday
2,0,51,7,Sunday
1,0,70,1,Sunday
3,0,6,2,Friday
4,2,10,1,Saturday
6,2,4,3,Saturday
3,0,17,2,Saturday
6,1,36,5,Friday
6,2,38,1,Sunday
4,0,44,2,Monday
1,0,14,1,Tuesday
3,0,96,1,Saturday
3,1,13,3,Tuesday
2,0,3,3,Sunday
5,0,3,1,Monday
2,1,67,8,Tuesday
2,2,78,2,Monday
6,2,2,1,Thursday
3,0,98,2,Saturday
1,0,94,8,Tuesday
5,0,22,1,Friday
1,0,14,2,Saturday
1,1,54,4,Monday
5,0,66,6,Thursday
6,1,13,2,Thursday
1,0,3,6,Friday
5,0,13,2,Sunday
2,1,6,1,Saturday
5,1,0,6,Saturday
5,1,22,1,Sunday
4,1,96,3,Thursday
6,0,0,8,Saturday
5,0,58,5,Sunday
2,0,67,9,Sunday
2,2,31,2,Wednesday
1,0,90,2,Friday
2,2,1,8,Saturday
3,0,17,1,Monday
1,1,10,9,Tuesday
4,0,14,2,Wednesday
2,1,62,2,Sunday
1,0,45,7,Sunday
5,1,64,6,Monday
2,1,9,7,Saturday
2,1,83,2,Monday
1,0,8,7,Saturday
1,1,20,6,Tuesday
2,0,76,8,Thursday
6,0,8,9,Saturday
3,1,46,1,Friday
1,1,4,1,Friday
1,0,0,4,Friday
1,0,4,6,Friday
1,1,83,1,Sunday
2,0,42,2,Wednesday
1,0,10,8,Wednesday
1,2,26,4,Wednesday
4,1,72,7,Friday
3,0,28,1,Saturday
5,2,45,5,Saturday
1,2,16,7,Tuesday
2,1,3,4,Thursday
6,0,1,3,Wednesday
1,1,79,7,Monday
6,1,0,2,Sunday
5,2,19,1,Wednesday
1,0,13,1,Thursday
1,0,33,1,Sunday
2,0,0,3,Tuesday
5,2,57,1,Thursday
1,0,67,2,Thursday
1,0,2,1,Saturday
1,2,66,4,Monday
1,1,4,3,Friday
2,0,39,9,Thursday
3,0,0,8,Friday
2,0,73,1,Wednesday
2,1,53,8,Saturday
6,0,68,5,Sunday
3,0,69,7,Friday
2,0,22,1,Saturday
2,0,14,2,Friday
1,0,0,1,Saturday
6,0,20,1,Monday
4,0,5,4,Saturday
4,0,21,1,Friday
5,0,74,1,Saturday
1,1,88,1,Thursday
1,0,85,3,Tuesday
1,0,37,1,Saturday
2,1,56,6,Wednesday
6,0,91,3,Tuesday
3,0,91,7,Sunday
1,0,68,6,Saturday
1,0,91,7,Friday
1,1,99,1,Tuesday
2,2,70,6,Sunday
4,0,9,3,Saturday
6,0,86,1,Saturday
1,2,64,5,Monday
1,1,6,3,Saturday
5,2,24,1,Thursday
1,0,0,4,Friday
1,0,55,3,Saturday
2,0,2,5,Friday
2,0,8,6,Saturday
1,2,49,2,Monday
4,2,51,2,Wednesday
2,2,97,2,Monday
1,2,44,1,Friday
2,0,87,5,Friday
2,0,56,1,Thursday
3,2,7,2,Tuesday
1,2,81,8,Friday
2,1,38,7,Saturday
3,0,24,9,Friday
1,1,95,1,Saturday
3,2,97,6,Friday
3,2,86,2,Thursday
3,1,4,7,Friday
2,0,56,4,Friday
5,0,64,8,Sunday
1,2,68,7,Saturday
2,1,0,5,Tuesday
3,0,75,1,Saturday
4,0,81,4,Saturday
4,0,20,2,Sunday
6,0,30,1,Friday
3,2,11,3,Friday
2,1,34,2,Friday
3,2,14,4,Saturday
4,0,53,3,Wednesday
2,2,86,1,Sunday
1,0,68,1,Saturday
3,2,1,4,Friday
3,0,11,9,Saturday
1,1,59,7,Monday
1,2,96,6,Monday
1,2,89,3,Thursday
6,0,72,9,Friday
5,2,9,2,Friday
3,2,17,1,Thursday
4,0,19,1,Friday
1,0,59,4,Wednesday
2,1,51,1,Friday
1,0,64,1,Saturday
4,1,15,1,Friday
5,2,12,3,Saturday
1,0,30,3,Saturday
3,2,93,1,Thursday
2,0,3,1,Saturday
1,0,20,5,Saturday
6,0,30,1,Friday
5,2,10,2,Saturday
1,1,60,4,Saturday
2,1,72,8,Saturday
2,0,80,6,Friday
5,0,30,1,Tuesday
3,0,1,1,Friday
3,2,17,8,Wednesday
4,2,63,3,Thursday
6,0,0,7,Tuesday
3,0,45,3,Saturday
1,2,86,5,Monday
1,0,58,1,Wednesday
1,1,2,2,Saturday
2,2,38,1,Thursday
3,0,55,5,Saturday
1,0,27,6,Thursday
2,0,39,8,Wednesday
2,1,0,2,Saturday
1,0,4,1,Thursday
5,1,59,6,Saturday
3,0,3,4,Wednesday
1,0,4,7,Friday
5,0,1,9,Saturday
4,1,91,1,Friday
3,0,1,7,Wednesday
1,0,34,4,Wednesday
3,0,100,1,Tuesday
1,0,58,1,Sunday
5,1,4,4,Friday
4,1,86,8,Wednesday
1,1,77,1,Friday
3,0,4,3,Friday
4,0,0,5,Tuesday
2,0,2,1,Friday
1,2,96,2,Sunday
3,1,5,7,Monday
2,0,87,1,Saturday
1,0,84,3,Thursday
5,0,59,9,Monday
2,1,75,2,Saturday
1,0,1,1,Saturday
3,0,0,9,Monday
3,0,2,2,Saturday
6,0,39,9,Tuesday
6,1,68,1,Thursday
6,1,80,3,Thursday
3,0,59,2,Saturday
4,2,69,1,Thursday
3,1,10,3,Friday
1,2,96,4,Friday
1,0,10,2,Sunday
1,1,56,1,Wednesday
1,0,4,7,Wednesday
1,1,25,7,Friday
1,2,1,8,Thursday
2,0,64,5,Sunday
6,1,6,2,Tuesday
6,1,60,3,Wednesday
2,0,91,7,Saturday
1,0,0,8,Sunday
1,0,49,3,Friday
3,0,40,9,Sunday
1,0,36,5,Friday
2,1,66,1,Saturday
2,2,4,1,Thursday
5,0,36,4,Friday
5,0,33,2,Thursday
1,0,11,2,Friday
3,0,4,7,Sunday
1,0,4,3,Thursday
1,0,58,7,Friday
1,0,2,7,Monday
4,1,65,7,Saturday
3,1,63,7,Friday
6,2,50,1,Wednesday
1,0,6,2,Monday
6,1,95,6,Thursday
2,0,11,3,Thursday
1,0,69,5,Saturday
1,1,85,7,Saturday
1,1,0,9,Saturday
6,0,12,9,Saturday
3,0,51,1,Friday
5,0,52,3,Saturday
4,1,51,1,Tuesday
2,0,88,1,Saturday
3,1,19,1,Friday
1,1,7,6,Friday
2,0,93,1,Friday
2,0,21,1,Friday
1,0,98,5,Friday
4,2,79,3,Monday
1,1,88,1,Saturday
4,2,6,5,Saturday
5,1,4,3,Tuesday
1,0,1,4,Saturday
5,0,1,8,Monday
2,0,4,4,Friday
1,0,35,3,Thursday
6,2,55,2,Thursday
5,1,66,2,Saturday
6,0,78,5,Thursday
1,1,25,2,Monday
2,1,13,1,Saturday
5,0,57,8,Monday
1,1,21,2,Friday
1,0,7,1,Friday
4,0,85,1,Tuesday
1,1,18,2,Sunday
4,0,5,1,Tuesday
2,0,28,9,Monday
1,0,14,8,Friday
2,0,16,1,Friday
1,2,62,1,Friday
6,0,51,7,Tuesday
1,0,75,1,Friday
2,1,47,1,Thursday
6,2,11,9,Thursday
2,0,86,1,Sunday
4,0,59,1,Monday
5,2,85,8,Friday
5,0,32,1,Friday
2,2,0,8,Thursday
5,0,30,9,Tuesday
2,2,53,1,Tuesday
1,0,15,3,Monday
3,0,43,1,Saturday
1,1,96,1,Saturday
3,0,66,4,Friday
1,0,0,4,Saturday
3,1,51,1,Wednesday
1,1,61,6,Saturday
1,0,51,2,Tuesday
1,2,31,9,Saturday
4,0,4,1,Friday
1,0,4,1,Thursday
1,0,3,1,Saturday
2,0,79,1,Monday
2,0,99,7,Sunday
6,0,51,2,Tuesday
4,0,94,6,Friday
1,1,17,3,Friday
2,0,60,7,Saturday
1,1,12,8,Sunday
4,2,26,9,Thursday
2,1,22,6,Friday
3,1,8,2,Friday
4,2,41,1,Tuesday
1,0,48,3,Thursday
2,0,43,1,Friday
2,0,51,4,Saturday
4,0,25,5,Saturday
5,0,26,4,Friday
1,0,65,3,Saturday
2,1,30,8,Saturday
1,1,0,1,Thursday
2,0,100,1,Wednesday
1,0,4,1,Friday
2,0,70,1,Wednesday
4,2,18,5,Sunday
4,1,48,1,Friday
5,1,2,7,Thursday
3,0,69,5,Friday
3,0,83,5,Tuesday
5,0,50,5,Tuesday
3,0,36,2,Monday
6,0,0,8,Sunday
1,0,0,4,Saturday
2,0,74,7,Friday
5,1,1,9,Wednesday
5,2,78,5,Monday
4,0,67,7,Saturday
3,2,87,4,Tuesday
4,0,80,3,Thursday
2,0,23,4,Friday
2,0,37,5,Thursday
4,0,5,6,Tuesday
1,0,5,9,Monday
1,0,7,7,Friday
1,0,75,4,Tuesday
2,0,93,1,Friday
3,1,3,1,Tuesday
4,0,5,1,Sunday
2,0,75,6,Tuesday
1,0,47,8,Friday
1,1,4,3,Friday
3,0,0,2,Saturday
1,0,40,1,Saturday
1,1,84,1,Wednesday
6,0,63,1,Friday
3,0,59,2,Saturday
2,0,96,4,Wednesday
1,0,25,6,Friday
1,1,34,1,Thursday
1,0,0,8,Monday
6,0,32,5,Saturday
1,0,0,6,Saturday
4,0,33,4,Tuesday
4,0,47,3,Sunday
4,0,21,2,Thursday
3,0,26,2,Saturday
2,0,90,9,Wednesday
3,1,0,1,Sunday
2,0,55,3,Sunday
1,0,0,1,Friday
1,0,10,2,Tuesday
1,0,32,5,Friday
2,1,46,6,Tuesday
4,2,34,2,Friday
1,2,11,3,Monday
5,2,98,2,Wednesday
2,1,2,2,Wednesday
6,2,1,4,Sunday
1,2,2,5,Tuesday
5,0,24,1,Wednesday
5,1,18,1,Monday
5,0,22,8,Monday
2,2,26,5,Friday
2,0,49,2,Saturday
3,1,6,8,Friday
4,0,12,4,Friday
1,2,1,5,Sunday
1,1,74,2,Wednesday
1,0,2,1,Tuesday
2,0,10,2,Sunday
2,0,1,1,Saturday
6,1,0,4,Thursday
3,0,1,1,Sunday
4,1,0,2,Sunday
6,2,3,4,Friday
6,0,14,5,Sunday
3,2,40,2,Monday
1,0,8,4,Friday
3,0,53,2,Friday
1,0,49,4,Thursday
5,0,6,1,Friday
1,1,87,9,Saturday
6,1,11,1,Thursday
4,0,3,1,Friday
2,0,20,1,Friday
3,0,46,7,Friday
6,0,6,1,Thursday
5,2,1,1,Thursday
4,0,94,1,Monday
1,1,1,1,Thursday
2,2,35,8,Tuesday
1,1,0,2,Saturday
3,2,100,1,Friday
6,0,1,6,Tuesday
1,0,19,4,Friday
6,1,30,3,Thursday
5,0,96,6,Saturday
1,0,3,1,Thursday
5,0,0,8,Sunday
4,2,91,3,Saturday
4,0,10,6,Saturday
1,0,92,2,Monday
1,2,55,7,Saturday
2,0,86,2,Monday
4,0,19,2,Friday
6,0,44,1,Friday
2,0,40,7,Friday
2,2,39,4,Saturday
6,0,93,9,Thursday
1,0,51,5,Thursday
3,1,88,4,Saturday
1,2,0,1,Monday
1,0,1,3,Thursday
5,2,5,9,Thursday
5,1,90,9,Tuesday
2,2,38,3,Saturday
1,0,46,2,Wednesday
2,2,40,2,Saturday
5,2,3,2,Saturday
4,0,0,1,Saturday
2,0,11,7,Friday
2,1,75,8,Saturday
1,0,59,1,Saturday
4,0,13,1,Friday
5,1,2,2,Monday
4,1,19,7,Friday
6,2,26,2,Monday
4,0,98,2,Wednesday
1,0,41,9,Wednesday
1,1,61,3,Sunday
2,2,78,5,Friday
2,0,9,3,Saturday
1,0,73,2,Friday
6,1,60,3,Saturday
2,1,10,1,Saturday
1,1,12,1,Friday
2,1,10,2,Saturday
1,0,0,1,Friday
6,0,0,6,Wednesday
6,2,8,6,Friday
5,0,0,3,Sunday
4,0,28,5,Friday
2,1,15,3,Friday
1,1,73,2,Tuesday
5,0,54,1,Saturday
1,2,98,1,Thursday
4,0,0,1,Saturday
2,2,0,3,Friday
2,1,25,7,Sunday
1,0,0,6,Friday
1,0,34,1,Friday
1,1,15,9,Sunday
4,0,68,2,Wednesday
6,1,1,4,Tuesday
3,1,19,1,Thursday
2,0,22,1,Sunday
3,0,7,3,Tuesday
6,1,90,7,Sunday
1,1,6,6,Friday
1,1,63,6,Friday
1,1,3,2,Tuesday
3,2,1,5,Friday
5,2,31,9,Monday
2,1,0,6,Friday
1,0,30,4,Tuesday
4,0,63,4,Saturday
2,0,3,2,Friday
3,1,48,3,Friday
4,1,54,1,Saturday
4,0,48,1,Sunday
1,0,25,1,Thursday
5,0,26,3,Saturday
1,2,74,1,Tuesday
5,0,68,4,Saturday
3,1,50,2,Saturday
2,1,90,2,Tuesday
5,0,82,9,Thursday
1,2,11,2,Tuesday
2,0,40,1,Friday
5,2,90,7,Friday
5,1,74,4,Saturday
4,1,86,4,Thursday
4,0,74,9,Wednesday
1,1,95,2,Monday
1,0,58,5,Monday
1,0,3,2,Sunday
4,0,32,4,Saturday
1,1,92,2,Friday
2,1,20,6,Saturday
6,1,63,9,Wednesday
4,2,55,4,Sunday
5,1,2,3,Sunday
2,1,60,8,Monday
1,0,10,6,Saturday
1,0,39,3,Friday
2,1,83,4,Saturday
3,1,12,8,Monday
6,0,28,1,Thursday
1,0,73,9,Thursday
1,2,37,2,Friday
6,0,41,1,Wednesday
3,0,3,1,Thursday
1,1,7,2,Saturday
1,0,8,9,Saturday
2,1,70,8,Friday
1,0,91,1,Sunday
5,1,0,1,Monday
2,1,9,4,Sunday
2,0,0,3,Friday
2,2,72,1,Friday
6,2,0,8,Saturday
1,1,35,1,Saturday
1,2,19,1,Saturday
2,2,25,7,Friday
1,1,91,5,Tuesday
3,2,0,3,Saturday
1,1,76,2,Sunday
3,1,76,3,Sunday
3,0,99,7,Sunday
5,0,50,1,Friday
1,0,28,3,Monday
2,0,0,1,Friday
1,0,2,3,Friday
6,1,81,6,Wednesday
1,1,1,3,Thursday
1,0,90,7,Saturday
3,0,11,3,Saturday
4,0,3,5,Friday
5,2,35,3,Friday
1,0,1,1,Thursday
3,1,4,2,Saturday
1,1,59,1,Sunday
1,0,0,5,Friday
1,0,21,4,Monday
6,2,2,1,Monday
2,0,0,1,Sunday
1,1,6,8,Saturday
5,2,1,3,Friday
5,0,96,3,Monday
5,0,46,1,Tuesday
5,0,7,9,Saturday
1,2,68,7,Saturday
2,0,35,2,Wednesday
1,0,19,1,Friday
1,0,57,2,Sunday
1,1,9,5,Sunday
2,1,0,3,Monday
1,1,6,1,Friday
1,0,0,6,Monday
2,0,0,3,Tuesday
4,0,4,9,Wednesday
3,0,4,2,Sunday
3,0,51,6,Monday
5,0,58,2,Saturday
2,0,16,4,Wednesday
1,1,30,1,Monday
5,1,30,3,Tuesday
4,0,30,3,Monday
6,0,16,1,Friday
2,0,0,3,Friday
4,0,68,1,Saturday
3,0,89,9,Saturday
1,1,10,1,Friday
1,0,6,2,Saturday
1,0,11,2,Sunday
5,1,2,2,Monday
1,0,75,3,Saturday
1,0,4,9,Monday
2,1,7,3,Friday
2,2,60,5,Thursday
4,2,61,1,Thursday
1,0,1,1,Wednesday
1,1,29,2,Sunday
2,0,78,2,Sunday
3,0,25,1,Monday
2,0,88,1,Tuesday
1,0,60,6,Friday
3,0,61,4,Thursday
4,0,57,2,Wednesday
2,1,56,2,Wednesday
4,1,26,1,Thursday
6,2,7,1,Tuesday
4,0,3,7,Sunday
4,0,10,3,Saturday
5,0,0,5,Saturday
2,2,2,1,Tuesday
6,2,65,6,Saturday
1,0,2,2,Friday
1,1,41,3,Friday
2,0,2,1,Thursday
2,2,98,2,Saturday
5,1,94,1,Thursday
1,0,66,1,Friday
6,2,84,1,Sunday
3,1,26,1,Saturday
1,2,90,3,Tuesday
2,1,49,4,Friday
1,0,48,1,Monday
2,2,27,7,Sunday
1,0,21,3,Wednesday
1,0,27,1,Sunday
1,0,96,1,Friday
1,2,45,9,Wednesday
3,0,0,3,Saturday
2,0,44,2,Friday
1,0,71,4,Sunday
1,0,1,1,Thursday
4,0,3,2,Saturday
2,0,1,5,Wednesday
1,2,0,2,Friday
4,0,35,1,Monday
1,0,92,4,Saturday
5,1,7,3,Friday
4,0,84,2,Sunday
1,0,75,3,Thursday
1,1,0,8,Saturday
5,1,45,3,Sunday
2,0,0,7,Wednesday
6,1,26,5,Wednesday
4,1,2,4,Wednesday
1,0,95,2,Tuesday
2,0,92,1,Sunday
1,0,1,3,Wednesday
3,1,73,1,Wednesday
2,1,4,1,Friday
1,1,40,3,Saturday
4,0,68,9,Friday
5,2,11,6,Tuesday
3,2,33,2,Tuesday
2,0,52,1,Friday
5,0,8,9,Tuesday
3,0,0,8,Saturday
2,2,1,3,Sunday
1,1,56,2,Thursday
6,0,48,7,Sunday
3,0,0,2,Friday
1,0,86,1,Saturday
2,2,0,1,Tuesday
4,0,39,1,Sunday
3,0,70,1,Saturday
4,0,18,7,Friday
1,0,77,6,Saturday
3,0,10,7,Wednesday
1,1,0,9,Thursday
6,0,30,4,Wednesday
1,0,42,2,Thursday
2,1,2,2,Saturday
2,0,4,9,Thursday
6,1,32,5,Saturday
2,1,88,2,Thursday
3,0,4,6,Friday
3,1,3,2,Sunday
1,1,1,5,Sunday
1,0,6,2,Wednesday
3,2,90,9,Tuesday
2,0,52,1,Sunday
4,2,30,5,Saturday
3,2,36,9,Tuesday
2,0,70,4,Friday
3,0,82,2,Tuesday
1,0,33,4,Friday
3,1,19,5,Monday
1,1,29,5,Saturday
2,0,31,5,Monday
6,1,0,1,Friday
2,0,39,6,Saturday
2,0,38,6,Saturday
2,0,28,3,Thursday
1,1,29,6,Friday
1,2,90,2,Saturday
1,0,81,3,Saturday
3,0,43,4,Friday
3,1,16,1,Sunday
2,0,34,5,Wednesday
1,1,62,7,Thursday
3,1,46,3,Tuesday
4,1,57,5,Thursday
3,0,0,5,Sunday
3,0,33,3,Friday
5,1,38,8,Saturday
1,1,100,7,Tuesday
4,0,0,5,Monday
4,0,42,3,Friday
4,0,3,1,Monday
2,0,41,9,Saturday
1,0,53,2,Saturday
1,1,6,7,Wednesday
3,0,3,5,Friday
3,1,43,2,Saturday
3,2,93,2,Saturday
1,0,3,4,Monday
5,0,85,6,Friday
5,0,4,4,Saturday
1,0,46,1,Tuesday
1,1,84,1,Sunday
2,2,72,1,Friday
5,0,74,6,Friday
1,0,16,9,Saturday
5,1,23,3,Monday
1,0,100,6,Friday
1,2,60,1,Friday
3,0,99,5,Friday
1,0,1,5,Friday
4,0,69,1,Wednesday
5,2,5,2,Wednesday
2,2,1,8,Friday
4,2,34,1,Saturday
3,0,0,6,Saturday
1,2,44,2,Friday
1,1,51,1,Tuesday
5,1,13,4,Monday
1,2,3,6,Friday
6,1,80,5,Friday
5,2,48,9,Sunday
6,0,97,7,Friday
2,2,34,1,Saturday
6,0,4,5,Sunday
6,0,74,1,Saturday
6,1,15,1,Thursday
4,0,40,4,Thursday
5,0,19,3,Sunday
5,1,96,2,Monday
6,0,10,1,Thursday
4,0,94,2,Friday
6,0,73,1,Saturday
1,2,6,9,Sunday
2,0,76,8,Friday
1,0,80,1,Tuesday
4,0,50,6,Monday
5,0,30,3,Saturday
1,0,60,1,Wednesday
6,2,90,2,Friday
3,0,3,5,Monday
5,0,40,3,Saturday
2,0,2,1,Friday
2,0,0,3,Wednesday
2,0,0,2,Saturday
2,0,67,1,Wednesday
5,0,75,3,Friday
5,1,22,6,Thursday
1,0,66,6,Saturday
2,1,53,1,Tuesday
1,0,19,1,Monday
2,0,16,2,Saturday
2,2,6,2,Friday
1,0,12,1,Friday
2,2,10,1,Saturday
1,0,63,1,Sunday
1,0,77,3,Saturday
3,0,20,1,Monday
5,1,80,5,Saturday
1,0,6,2,Thursday
3,2,58,1,Friday
3,0,92,1,Saturday
2,1,7,4,Sunday
1,2,8,1,Thursday
2,0,15,4,Saturday
4,1,6,2,Wednesday
4,1,11,2,Friday
1,0,25,2,Tuesday
4,0,0,5,Friday
1,2,56,9,Friday
5,0,16,7,Saturday
2,0,49,3,Saturday
6,2,25,3,Saturday
1,0,82,9,Saturday
2,2,10,4,Friday
6,0,62,2,Friday
1,2,0,1,Tuesday
2,0,1,2,Friday
2,1,1,5,Thursday
3,1,0,2,Friday
1,1,0,6,Friday
5,1,0,9,Friday
2,0,84,3,Sunday
1,0,29,4,Tuesday
3,2,3,4,Thursday
3,0,87,1,Tuesday
1,0,16,6,Monday
2,1,1,2,Thursday
1,2,83,1,Saturday
1,1,0,2,Saturday
1,0,26,1,Friday
1,0,1,1,Wednesday
1,2,15,1,Tuesday
1,1,33,3,Friday
1,0,55,1,Friday
1,0,7,1,Thursday
2,1,0,7,Friday
3,1,87,1,Friday
1,2,88,3,Friday
1,1,44,4,Wednesday
1,0,64,6,Thursday
2,0,43,8,Friday
4,2,15,1,Saturday
2,0,1,2,Friday
1,1,45,1,Friday
3,2,0,4,Friday
1,0,65,1,Sunday
1,0,45,3,Saturday
1,1,1,3,Sunday
1,0,4,5,Monday
2,2,64,2,Saturday
1,2,0,4,Thursday
5,1,0,1,Saturday
1,0,74,4,Friday
4,1,40,4,Tuesday
4,2,0,1,Friday
6,0,26,6,Sunday
6,1,55,9,Friday
5,0,14,4,Friday
3,0,43,1,Tuesday
4,0,17,3,Thursday
4,1,0,6,Friday
2,1,73,5,Wednesday
2,2,91,7,Sunday
3,0,0,1,Friday
1,0,72,3,Friday
3,0,44,4,Saturday
3,0,9,6,Saturday
2,0,1,1,Saturday
2,2,3,2,Friday
4,1,10,6,Thursday
2,1,56,2,Wednesday
2,0,2,9,Saturday
6,0,9,3,Saturday
1,0,1,2,Saturday
2,1,0,7,Saturday
4,1,26,4,Saturday
4,0,51,2,Thursday
6,0,97,1,Tuesday
