,Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay,1005,1032,1033,1034,1039,1042,1047,1050,1051,1052,1078,1080,40000,40006,1000,1014,1001
1664,6,1,21,3,Saturday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1665,2,0,31,9,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,2,0,66,4,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1667,1,0,55,6,Monday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,6,0,67,2,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1669,2,2,41,7,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1670,1,0,77,5,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,1,0,71,9,Saturday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1672,1,2,0,5,Friday,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1673,5,1,40,1,Friday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1674,3,2,10,3,Saturday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1675,1,0,2,9,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,1,0,58,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,3,0,21,7,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1678,3,0,22,5,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1679,5,0,6,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1680,3,2,92,9,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1681,3,0,88,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1682,5,1,2,7,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1683,3,0,0,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1684,4,0,0,7,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1685,2,1,4,1,Saturday,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1686,1,0,46,6,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,5,0,56,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1688,1,0,69,1,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,5,2,25,1,Tuesday,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1690,1,2,25,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1691,1,0,1,5,Wednesday,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1692,2,0,63,1,Friday,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1693,2,0,0,2,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1694,1,2,100,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1695,1,0,11,7,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1696,1,0,31,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,5,1,0,3,Friday,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1698,2,0,74,2,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1699,4,2,23,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,6,1,94,2,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,1,1,0,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1702,2,1,7,6,Wednesday,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1703,3,0,10,1,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1704,5,2,20,8,Friday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1705,3,2,87,2,Friday,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
1706,1,1,29,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,5,0,85,8,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1708,1,0,35,1,Sunday,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,2,0,33,5,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,4,2,11,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1711,2,2,52,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1712,1,0,41,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,1,1,43,1,Friday,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1714,3,0,85,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,5,0,19,5,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,1,1,45,8,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1717,6,2,6,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1718,3,0,65,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1719,1,2,95,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1720,1,2,4,1,Wednesday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1721,4,2,24,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1722,3,0,71,2,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1723,6,0,65,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1724,1,2,52,4,Friday,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1725,3,1,30,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,2,2,20,9,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1727,1,1,28,4,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1728,2,1,68,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,3,1,45,8,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1730,4,1,76,2,Friday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1731,3,0,7,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1732,2,0,0,7,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1733,5,0,96,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,6,1,63,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1735,1,1,30,8,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,5,1,3,2,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,1,0,82,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,4,0,19,8,Saturday,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1739,1,1,7,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1740,2,0,21,5,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1741,3,0,98,9,Wednesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1742,1,0,78,8,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,2,0,84,8,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1744,6,0,78,8,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,5,1,0,1,Monday,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1746,4,0,69,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747,4,0,75,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748,6,0,43,1,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1749,3,2,48,6,Saturday,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1750,5,0,98,2,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,1,0,11,3,Sunday,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1752,1,1,89,2,Friday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1753,1,1,4,4,Friday,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1754,1,1,27,3,Monday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1755,1,1,4,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1756,6,1,0,9,Saturday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1757,6,2,43,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,2,2,47,4,Saturday,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1759,1,1,74,5,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,2,0,81,1,Monday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1761,1,0,37,2,Friday,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1762,2,0,6,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1763,3,2,100,9,Friday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1764,5,0,3,9,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,2,2,0,6,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,1,2,6,4,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,1,0,68,1,Tuesday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1768,2,1,98,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1769,6,0,21,7,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,1,0,20,4,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,3,2,1,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,4,0,1,2,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1773,1,1,75,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,1,1,93,2,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,5,0,19,2,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776,5,2,8,5,Monday,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1777,1,1,91,1,Monday,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1778,5,2,1,1,Friday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1779,6,0,84,1,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1780,5,0,0,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,1,1,6,6,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1782,3,0,58,5,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1783,1,0,9,2,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,3,1,24,2,Saturday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1785,1,0,22,5,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786,2,1,43,3,Thursday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1787,2,2,14,2,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1788,4,0,61,6,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1789,3,0,14,1,Friday,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1790,4,1,39,3,Thursday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1791,5,2,73,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,1,0,46,9,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1793,1,2,20,1,Saturday,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1794,3,0,9,1,Saturday,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1795,1,0,1,2,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,2,9,2,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1797,3,1,33,1,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,1,0,88,7,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1799,6,1,26,3,Friday,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1800,3,1,13,6,Tuesday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1801,1,2,56,6,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1802,2,0,65,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1803,3,0,7,8,Sunday,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1804,1,2,96,4,Friday,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1805,1,1,33,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,1,0,29,6,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1807,2,0,9,3,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1808,4,0,42,9,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1809,4,1,4,1,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1810,2,1,15,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,4,1,29,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1812,1,0,54,4,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1813,5,2,19,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1814,3,0,94,4,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1815,1,2,68,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,5,2,0,6,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1817,2,0,79,2,Thursday,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1818,2,0,53,7,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819,3,1,40,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,4,0,39,2,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,1,2,20,1,Saturday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1822,3,0,50,9,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,2,1,82,1,Tuesday,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1824,1,0,1,9,Wednesday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1825,2,0,3,6,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,5,0,6,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1827,3,1,8,2,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,6,2,0,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1829,5,1,41,1,Saturday,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1830,2,2,6,4,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,5,2,42,6,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,2,62,5,Wednesday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1833,1,2,64,9,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,6,2,49,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,1,1,84,1,Saturday,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1836,2,0,2,8,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,3,1,31,8,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1838,3,0,36,7,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1839,1,0,78,1,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,3,1,6,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1841,1,0,27,2,Tuesday,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1842,2,0,64,4,Wednesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1843,3,0,93,6,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,1,1,7,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1845,3,0,30,3,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,4,0,0,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,3,2,41,8,Monday,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1848,5,1,1,7,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1849,1,0,61,2,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,3,0,0,4,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,1,0,61,1,Sunday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,3,1,0,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1853,1,2,48,1,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1854,1,0,10,9,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,1,2,1,5,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1856,1,0,23,2,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857,4,0,26,9,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858,1,0,56,1,Tuesday,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1859,1,1,47,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,2,0,42,5,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,6,0,0,7,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1862,6,0,41,3,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1863,4,1,1,3,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,1,1,77,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1865,5,1,57,2,Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1866,1,0,8,6,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,4,1,73,2,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,5,1,97,7,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,3,0,0,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,69,8,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1871,6,0,14,7,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,4,2,90,9,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,2,0,15,3,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,3,0,98,9,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1875,2,1,1,1,Saturday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1876,4,1,13,6,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,2,1,81,5,Friday,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1878,1,1,14,7,Monday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1879,1,0,32,7,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,5,2,0,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1881,1,0,11,2,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,1,1,56,7,Friday,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1883,4,1,0,6,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1884,1,1,29,4,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1885,3,0,54,4,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1886,2,0,0,6,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1887,5,1,61,4,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1888,3,0,86,2,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,4,0,2,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,5,0,2,1,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,5,0,0,5,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,3,2,52,1,Saturday,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1893,1,0,0,5,Monday,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1894,3,2,12,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1895,6,2,49,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1896,2,1,30,1,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1897,1,1,41,7,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,5,2,47,1,Wednesday,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1899,1,0,0,6,Monday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1900,2,0,28,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,6,0,25,6,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1902,6,0,23,1,Monday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,2,1,23,1,Saturday,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1904,3,0,45,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1905,1,2,0,9,Saturday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1906,5,1,0,6,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,1,0,51,2,Thursday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1908,6,0,64,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,5,0,7,3,Monday,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1910,2,0,56,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,1,0,87,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1912,6,0,49,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1913,4,2,41,7,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1914,4,0,12,7,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1915,3,0,48,2,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,3,0,82,9,Monday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1917,2,1,93,2,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,1,0,78,6,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,4,1,73,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1920,1,0,3,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,2,1,95,2,Friday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1922,4,1,61,1,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1923,1,0,29,3,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,6,2,71,1,Friday,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1925,2,0,81,4,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1926,2,0,57,1,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,1,1,7,8,Thursday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1928,2,0,18,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,3,2,65,6,Friday,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1930,2,0,60,9,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1,1,3,9,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1932,1,1,5,1,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1933,4,0,3,3,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1934,4,1,48,4,Saturday,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1935,2,1,15,1,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1936,1,0,6,6,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,3,1,8,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1,0,21,2,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1939,6,0,78,9,Thursday,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1940,1,1,0,1,Wednesday,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1941,4,0,24,4,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
