ArrivalDate-Weekday;Arrival-Month;channel-id;LeadDays;lang-id;nights-qty;room-qty;adult-qty;child-qty;infant-qty
MONDAY   ;4;6;0;1;2;1;1;0;0
TUESDAY  ;8;6;2;1;5;1;3;0;0
TUESDAY  ;10;6;2;1;2;1;1;0;0
WEDNESDAY;2;6;6;1;7;1;2;0;0
TUESDAY  ;8;6;2;1;4;1;2;0;0
SATURDAY ;8;6;47;1;6;1;2;0;0
TUESDAY  ;3;6;1;1;3;1;1;0;0
SUNDAY   ;6;13;52;1;4;1;1;0;0
FRIDAY   ;2;6;16;1;3;1;2;0;0
WEDNESDAY;9;6;34;1;5;1;2;0;0
WEDNESDAY;8;13;15;1;3;1;1;0;0
MONDAY   ;2;7;41;1;3;1;2;0;0
WEDNESDAY;7;6;1;1;2;1;2;0;0
FRIDAY   ;7;6;2;1;2;1;1;0;0
SUNDAY   ;9;13;6;1;3;1;1;0;0
SATURDAY ;7;6;15;1;4;1;2;0;0
TUESDAY  ;9;6;23;1;5;1;2;0;0
FRIDAY   ;4;6;10;1;2;1;2;0;0
SUNDAY   ;11;6;54;1;4;1;2;0;0
TUESDAY  ;7;6;36;1;7;1;1;0;0
SATURDAY ;9;6;24;1;2;1;2;0;0
SATURDAY ;6;6;58;1;5;1;2;0;0
SATURDAY ;1;7;17;1;2;1;2;0;0
MONDAY   ;4;6;4;1;2;1;1;0;0
FRIDAY   ;3;6;1;1;2;1;2;0;0
SATURDAY ;9;6;34;1;5;1;2;0;0
WEDNESDAY;9;6;35;1;3;1;2;0;0
WEDNESDAY;5;6;44;1;3;1;2;0;0
FRIDAY   ;5;6;39;1;5;1;1;0;0
MONDAY   ;9;6;23;1;7;1;2;0;0
SATURDAY ;4;6;1;1;6;1;2;0;0
THURSDAY ;3;7;0;1;3;1;2;0;0
MONDAY   ;2;7;44;1;2;1;1;0;0
SUNDAY   ;9;6;6;1;2;1;2;0;0
WEDNESDAY;5;6;26;1;3;1;2;0;0
SUNDAY   ;7;6;3;1;5;1;2;0;0
MONDAY   ;10;6;24;1;5;1;1;0;0
SATURDAY ;5;6;21;1;5;1;2;0;0
SATURDAY ;6;6;71;1;3;1;1;1;0
SATURDAY ;11;3;52;1;4;1;2;0;0
THURSDAY ;10;6;22;1;2;1;1;0;0
MONDAY   ;2;1;28;1;5;1;1;0;0
FRIDAY   ;1;7;0;1;2;1;2;0;0
WEDNESDAY;7;6;6;1;3;1;2;0;0
FRIDAY   ;9;6;10;1;3;1;1;0;0
TUESDAY  ;4;6;14;1;7;1;1;0;0
MONDAY   ;6;6;46;1;3;1;2;0;0
SATURDAY ;5;6;1;1;3;1;2;0;0
WEDNESDAY;4;6;44;1;6;1;1;0;0
FRIDAY   ;3;7;6;1;8;1;1;0;0
SUNDAY   ;9;6;27;1;3;1;2;0;0
MONDAY   ;8;6;1;1;6;1;2;0;0
THURSDAY ;5;6;47;1;3;1;2;0;0
SATURDAY ;8;6;22;1;5;1;3;0;0
SATURDAY ;4;6;5;1;4;1;2;1;0
SUNDAY   ;6;6;5;1;2;1;1;0;0
THURSDAY ;6;6;15;1;3;1;2;0;0
THURSDAY ;6;7;30;1;3;1;2;0;0
TUESDAY  ;7;6;7;1;3;1;2;0;0
SATURDAY ;5;6;15;1;4;1;2;0;0
SATURDAY ;3;6;8;1;3;1;1;0;0
THURSDAY ;7;6;25;1;5;1;2;0;0
THURSDAY ;8;6;9;1;4;1;2;0;0
SATURDAY ;6;6;18;1;4;1;2;0;0
SATURDAY ;6;6;75;1;3;1;2;0;0
FRIDAY   ;6;6;1;1;2;1;2;0;0
FRIDAY   ;7;6;1;1;2;1;2;0;0
SUNDAY   ;6;6;9;1;4;1;2;0;0
WEDNESDAY;2;6;13;1;4;1;2;0;0
FRIDAY   ;2;6;13;1;6;1;1;0;0
MONDAY   ;6;13;14;1;4;1;2;0;0
SUNDAY   ;6;6;41;1;3;1;2;0;0
THURSDAY ;4;6;76;1;6;1;2;0;0
THURSDAY ;5;6;22;1;3;1;1;0;0
SATURDAY ;9;6;21;1;3;1;2;0;0
THURSDAY ;12;6;59;1;3;1;2;0;0
SATURDAY ;9;6;5;1;4;1;2;0;0
WEDNESDAY;6;6;1;1;4;1;2;0;0
TUESDAY  ;5;6;26;1;5;1;2;0;0
MONDAY   ;6;6;18;1;5;1;2;0;0
MONDAY   ;1;7;34;1;6;1;2;0;0
MONDAY   ;9;13;11;1;2;1;1;0;0
THURSDAY ;5;6;2;1;2;1;2;1;0
MONDAY   ;2;7;45;1;2;1;2;0;0
SUNDAY   ;9;6;6;1;4;1;2;0;0
WEDNESDAY;6;6;23;1;3;1;2;1;0
MONDAY   ;9;6;20;1;5;1;3;0;0
TUESDAY  ;6;6;24;1;5;1;2;0;0
THURSDAY ;9;6;85;1;7;1;2;0;0
THURSDAY ;6;6;0;1;2;1;2;0;0
THURSDAY ;5;6;12;1;3;1;1;0;0
THURSDAY ;10;6;15;1;4;1;3;0;0
SUNDAY   ;4;6;34;1;4;1;2;0;0
SUNDAY   ;9;6;18;1;7;1;2;0;0
THURSDAY ;6;6;23;1;5;1;1;2;0
TUESDAY  ;7;6;2;1;2;1;1;0;0
TUESDAY  ;9;6;34;1;3;1;2;0;0
SATURDAY ;6;6;27;1;6;1;1;0;0
FRIDAY   ;10;6;43;1;3;1;2;0;0
SATURDAY ;3;6;27;1;5;1;2;0;0
SUNDAY   ;7;6;28;1;6;1;1;0;0
SATURDAY ;4;13;8;1;7;1;2;0;0
MONDAY   ;9;6;17;1;3;1;2;0;0
FRIDAY   ;4;6;17;1;3;1;2;0;0
FRIDAY   ;7;6;0;1;2;1;2;0;0
THURSDAY ;1;7;3;1;4;1;2;0;0
SUNDAY   ;7;6;18;1;4;1;1;0;0
FRIDAY   ;4;6;2;1;2;1;2;0;0
FRIDAY   ;1;7;10;1;3;1;2;0;0
MONDAY   ;10;6;21;1;3;1;2;0;0
THURSDAY ;11;6;36;1;3;1;2;0;0
FRIDAY   ;10;6;0;1;2;1;2;0;0
SATURDAY ;4;1;137;1;2;1;2;0;0
MONDAY   ;6;6;6;1;3;1;1;0;0
SUNDAY   ;7;6;27;1;6;1;2;0;0
SATURDAY ;8;6;1;1;2;1;2;0;0
MONDAY   ;7;13;6;1;3;1;1;0;0
THURSDAY ;5;6;3;1;2;1;2;0;0
SATURDAY ;3;6;0;1;2;1;2;0;0
TUESDAY  ;4;6;21;1;2;1;1;0;0
MONDAY   ;6;7;6;1;2;1;1;0;0
MONDAY   ;4;6;13;1;3;1;2;1;0
TUESDAY  ;1;7;3;1;3;1;2;0;0
SATURDAY ;3;6;0;1;4;1;1;0;0
MONDAY   ;4;6;11;1;7;1;2;0;0
SUNDAY   ;10;13;2;1;5;1;1;0;0
WEDNESDAY;9;6;14;1;4;1;2;0;0
MONDAY   ;5;6;4;1;3;1;1;0;0
FRIDAY   ;6;6;1;1;3;1;2;0;0
MONDAY   ;6;6;14;1;3;1;2;0;0
WEDNESDAY;6;6;8;1;3;1;2;0;0
WEDNESDAY;9;6;166;1;5;1;1;0;0
THURSDAY ;2;6;15;1;3;1;2;0;0
FRIDAY   ;1;7;95;1;6;1;2;0;0
SUNDAY   ;10;1;12;1;4;1;1;0;0
MONDAY   ;3;1;5;1;14;1;2;0;0
FRIDAY   ;3;1;29;1;11;1;2;0;0
FRIDAY   ;6;1;2;1;7;1;1;2;0
SATURDAY ;9;1;28;1;4;1;2;0;0
SATURDAY ;10;1;26;1;4;1;2;0;0
WEDNESDAY;8;1;9;1;3;1;2;0;0
THURSDAY ;12;6;7;1;3;1;2;0;0
WEDNESDAY;12;6;29;1;4;1;1;0;0
SATURDAY ;11;6;18;1;5;1;1;0;0
MONDAY   ;12;6;15;1;4;1;1;0;0
MONDAY   ;12;6;43;1;5;1;1;0;0
WEDNESDAY;12;7;73;1;5;1;2;1;0
SUNDAY   ;11;7;16;1;4;1;1;0;0
SATURDAY ;12;6;54;1;5;1;2;0;0
SATURDAY ;11;6;91;1;4;1;2;0;0
SUNDAY   ;11;7;31;1;5;1;2;0;0
MONDAY   ;12;6;30;1;5;1;2;0;0
SUNDAY   ;12;6;36;1;5;1;2;0;0
THURSDAY ;12;7;80;1;5;1;2;0;0
SUNDAY   ;12;6;35;1;5;1;1;0;0
SATURDAY ;12;7;31;1;8;1;2;0;0
FRIDAY   ;12;7;76;1;4;1;2;0;0
SATURDAY ;12;7;49;1;4;1;2;1;0
FRIDAY   ;12;7;47;1;4;1;1;0;0
MONDAY   ;11;6;8;1;4;1;2;0;0
FRIDAY   ;11;6;22;1;5;1;2;0;0
WEDNESDAY;11;7;1;1;4;1;2;0;0
SUNDAY   ;11;6;1;1;5;1;2;0;0
THURSDAY ;11;6;0;1;3;1;2;0;0
SUNDAY   ;12;7;16;1;5;1;2;0;0
FRIDAY   ;12;7;12;1;6;1;2;0;0
SUNDAY   ;12;6;73;1;6;1;2;0;0
MONDAY   ;12;6;39;1;6;1;2;0;0
MONDAY   ;12;6;3;1;6;1;2;0;0
SATURDAY ;12;6;12;1;7;1;2;0;0
THURSDAY ;12;6;2;1;7;1;2;0;0
FRIDAY   ;12;6;10;1;4;1;1;0;0
FRIDAY   ;11;7;2;1;7;1;1;0;0
WEDNESDAY;12;6;37;1;7;1;2;0;0
FRIDAY   ;12;6;31;1;5;1;3;0;0
MONDAY   ;12;6;47;1;5;1;2;0;0
TUESDAY  ;11;6;8;1;5;1;3;0;0
FRIDAY   ;12;6;8;1;7;1;2;0;0
WEDNESDAY;10;6;0;1;6;1;2;0;0
SATURDAY ;12;6;41;1;7;1;2;0;0
SATURDAY ;11;6;11;1;7;1;2;0;0
SATURDAY ;11;6;11;1;7;1;2;0;0
TUESDAY  ;10;6;5;1;5;1;2;1;0
WEDNESDAY;12;6;44;1;7;1;2;0;0
TUESDAY  ;12;6;62;1;6;1;2;0;0
MONDAY   ;11;1;25;1;9;1;1;0;0
SUNDAY   ;11;7;10;1;7;1;1;0;0
SUNDAY   ;12;6;28;1;5;1;2;0;0
MONDAY   ;11;7;18;1;10;1;1;0;0
SATURDAY ;12;6;32;1;7;1;3;0;0
FRIDAY   ;11;7;1;1;10;1;2;0;0
TUESDAY  ;11;7;4;1;33;1;1;0;0
FRIDAY   ;12;6;8;1;1;1;2;0;0
SUNDAY   ;11;6;2;1;1;1;1;0;0
FRIDAY   ;12;6;1;1;1;1;2;0;0
THURSDAY ;12;6;2;1;1;1;2;0;0
MONDAY   ;12;7;5;1;1;1;1;0;0
MONDAY   ;12;6;7;1;1;1;1;0;0
TUESDAY  ;12;13;0;1;1;1;1;0;0
MONDAY   ;12;13;4;1;1;1;1;0;0
MONDAY   ;12;13;13;1;1;1;1;0;0
SATURDAY ;11;6;0;1;1;1;2;0;0
SATURDAY ;12;6;2;1;1;1;2;0;0
WEDNESDAY;12;6;1;1;1;1;2;0;0
SUNDAY   ;12;6;16;1;1;1;1;0;0
SUNDAY   ;12;6;16;1;1;1;1;0;0
THURSDAY ;12;6;0;1;1;1;2;0;0
SATURDAY ;12;7;17;1;1;1;1;0;0
WEDNESDAY;12;1;1;1;1;1;1;0;0
WEDNESDAY;12;6;16;1;1;1;2;0;0
THURSDAY ;12;7;1;1;1;1;1;1;0
TUESDAY  ;12;6;8;1;1;1;2;0;0
TUESDAY  ;12;6;32;1;1;1;1;0;0
SUNDAY   ;11;7;5;1;1;1;1;0;0
TUESDAY  ;11;6;36;1;1;1;2;0;0
SUNDAY   ;11;7;1;1;1;1;2;0;0
WEDNESDAY;12;7;6;1;1;1;1;0;0
THURSDAY ;12;7;70;1;1;1;2;0;0
MONDAY   ;11;7;7;1;1;1;1;0;0
MONDAY   ;12;7;0;1;1;1;2;0;0
SUNDAY   ;11;6;1;1;1;1;2;0;0
TUESDAY  ;11;6;4;1;1;1;1;0;0
WEDNESDAY;11;1;5;1;1;1;1;0;0
WEDNESDAY;11;7;1;1;1;1;2;0;0
SATURDAY ;12;6;4;1;2;1;2;0;0
MONDAY   ;12;6;42;1;2;1;1;0;0
WEDNESDAY;12;6;43;1;2;1;1;0;0
SUNDAY   ;12;6;61;1;2;1;1;1;0
SUNDAY   ;12;6;61;1;2;1;2;0;0
THURSDAY ;11;7;24;1;2;1;1;0;0
THURSDAY ;12;7;27;1;2;1;1;0;0
THURSDAY ;11;7;0;1;1;1;1;0;0
WEDNESDAY;11;6;54;1;2;1;1;0;0
FRIDAY   ;11;7;2;1;1;1;2;1;0
FRIDAY   ;11;6;2;1;2;1;2;0;0
FRIDAY   ;11;6;1;1;2;1;2;0;0
THURSDAY ;11;6;3;1;1;1;2;0;0
TUESDAY  ;12;7;1;1;1;1;2;0;0
FRIDAY   ;11;6;2;1;2;1;2;0;0
MONDAY   ;12;6;57;1;2;1;2;0;0
THURSDAY ;11;7;8;1;2;1;1;0;0
THURSDAY ;11;7;8;1;2;1;1;0;0
WEDNESDAY;12;6;0;1;2;1;2;0;0
THURSDAY ;11;7;6;1;2;1;1;0;0
MONDAY   ;12;13;18;1;2;1;1;0;0
SUNDAY   ;11;6;6;1;2;1;1;0;0
TUESDAY  ;12;1;37;1;2;1;2;0;0
TUESDAY  ;11;6;39;1;2;1;2;0;0
THURSDAY ;11;7;44;1;3;1;2;0;0
TUESDAY  ;11;6;12;1;2;1;2;0;0
MONDAY   ;11;7;19;1;2;1;2;0;0
WEDNESDAY;12;6;44;1;3;1;2;1;0
MONDAY   ;12;7;28;1;2;1;1;0;0
MONDAY   ;12;6;12;1;3;1;1;0;0
TUESDAY  ;12;6;0;1;2;1;2;0;0
WEDNESDAY;11;6;54;1;3;1;1;0;0
MONDAY   ;11;7;21;1;3;1;2;0;0
THURSDAY ;12;6;8;1;2;1;1;0;0
FRIDAY   ;12;6;0;1;3;1;2;0;0
WEDNESDAY;11;6;2;1;2;1;1;0;0
THURSDAY ;11;6;30;1;2;1;1;0;0
WEDNESDAY;11;7;5;1;2;1;1;0;0
WEDNESDAY;12;13;5;1;2;1;1;0;0
WEDNESDAY;11;7;7;1;3;1;1;0;0
WEDNESDAY;11;7;93;1;3;1;1;0;0
SATURDAY ;11;7;9;1;3;1;2;0;0
THURSDAY ;11;6;3;1;3;1;2;0;0
THURSDAY ;11;7;1;1;2;1;1;0;0
WEDNESDAY;12;6;44;1;3;1;2;0;0
SUNDAY   ;11;7;32;1;4;1;2;0;0
WEDNESDAY;12;6;1;1;4;1;2;0;0
SUNDAY   ;12;6;58;1;2;1;2;0;0
THURSDAY ;12;6;6;1;4;1;1;0;0
TUESDAY  ;12;6;51;1;2;1;3;0;0
FRIDAY   ;11;6;7;1;3;1;1;0;0
SATURDAY ;12;6;4;1;4;1;2;0;0
MONDAY   ;12;7;1;1;2;1;1;3;0
MONDAY   ;12;6;12;1;4;1;1;2;0
THURSDAY ;11;6;29;1;4;1;1;1;0
TUESDAY  ;11;7;7;1;2;1;1;0;0
THURSDAY ;11;7;6;1;4;1;2;0;0
WEDNESDAY;11;7;4;1;3;1;2;0;0
MONDAY   ;11;1;7;1;3;1;2;0;0
TUESDAY  ;12;6;6;1;3;1;2;0;0
THURSDAY ;1;1;31;1;1;1;2;0;0
WEDNESDAY;2;13;29;1;1;1;1;0;0
TUESDAY  ;1;13;7;1;2;1;1;0;0
TUESDAY  ;1;13;7;1;1;1;1;0;0
TUESDAY  ;1;13;11;1;1;1;1;0;0
TUESDAY  ;1;13;8;1;1;1;1;0;0
WEDNESDAY;1;13;7;1;1;1;1;0;0
WEDNESDAY;1;1;5;1;3;1;1;0;0
SUNDAY   ;2;13;0;1;3;1;1;0;0
MONDAY   ;3;13;38;1;1;1;1;0;0
MONDAY   ;10;13;6;1;2;1;1;0;0
TUESDAY  ;9;13;12;1;1;1;1;0;0
WEDNESDAY;11;13;114;1;2;1;1;0;0
MONDAY   ;5;13;46;1;1;1;1;0;0
WEDNESDAY;5;13;2;1;2;1;1;0;0
SUNDAY   ;6;13;63;1;3;1;1;0;0
WEDNESDAY;5;13;8;1;1;1;1;0;0
TUESDAY  ;6;13;26;1;10;1;1;0;0
SUNDAY   ;6;6;1;1;1;1;2;0;0
SATURDAY ;10;6;3;1;1;1;2;0;0
TUESDAY  ;7;6;43;1;6;1;1;0;0
SATURDAY ;9;6;23;1;1;1;1;0;0
TUESDAY  ;8;6;21;1;1;1;2;0;0
SUNDAY   ;4;6;26;1;1;1;1;0;0
SUNDAY   ;7;6;71;1;7;1;2;0;0
MONDAY   ;10;6;51;1;1;1;2;0;0
FRIDAY   ;7;6;90;1;3;1;2;0;0
THURSDAY ;6;6;7;1;2;1;2;0;0
THURSDAY ;9;6;38;1;4;1;1;0;0
WEDNESDAY;4;6;18;1;1;1;2;0;0
THURSDAY ;2;6;0;1;3;1;2;0;0
TUESDAY  ;5;6;55;1;2;1;2;0;0
MONDAY   ;4;6;29;1;4;1;2;0;0
FRIDAY   ;11;6;39;1;1;1;1;0;0
THURSDAY ;2;6;3;1;1;1;1;0;0
SATURDAY ;8;6;23;1;4;1;1;1;0
SATURDAY ;6;6;60;1;6;1;3;0;0
THURSDAY ;6;6;7;1;2;1;2;0;0
WEDNESDAY;8;6;148;1;2;1;2;0;0
SATURDAY ;9;6;18;1;1;1;2;0;0
WEDNESDAY;7;6;5;1;4;1;1;0;0
TUESDAY  ;7;6;0;1;2;1;2;0;0
WEDNESDAY;5;6;27;1;4;1;2;0;0
WEDNESDAY;9;6;14;1;2;1;1;0;0
SUNDAY   ;7;6;18;1;5;1;2;0;0
FRIDAY   ;7;6;88;1;4;1;2;0;0
WEDNESDAY;2;6;0;1;1;1;2;0;0
WEDNESDAY;4;6;9;1;1;1;3;0;0
MONDAY   ;9;13;14;1;1;1;1;0;0
FRIDAY   ;10;6;17;1;2;1;2;1;0
SATURDAY ;8;7;23;1;8;1;3;0;0
SATURDAY ;7;7;1;1;2;1;1;0;0
SUNDAY   ;7;13;11;1;1;1;1;0;0
FRIDAY   ;8;6;42;1;2;1;1;0;0
THURSDAY ;5;6;29;1;2;1;1;0;0
FRIDAY   ;8;6;9;1;7;1;1;0;0
FRIDAY   ;10;6;17;1;2;1;2;0;0
WEDNESDAY;6;6;1;1;1;1;2;0;0
WEDNESDAY;1;7;41;1;2;1;1;0;0
WEDNESDAY;10;7;5;1;1;1;1;0;0
THURSDAY ;10;7;6;1;1;1;1;0;0
THURSDAY ;9;6;8;1;1;1;2;0;0
SATURDAY ;8;6;34;1;2;1;2;0;0
FRIDAY   ;1;7;29;1;2;1;1;0;0
FRIDAY   ;1;7;0;1;1;1;2;0;0
THURSDAY ;4;7;15;1;2;1;1;0;0
FRIDAY   ;3;7;0;1;1;1;2;0;0
WEDNESDAY;9;3;48;1;3;1;2;0;0
SATURDAY ;10;13;74;1;3;1;1;0;0
FRIDAY   ;10;7;4;1;2;1;3;0;0
FRIDAY   ;2;7;116;1;2;1;3;0;0
SUNDAY   ;4;7;6;1;4;1;2;0;0
FRIDAY   ;8;7;1;1;1;1;2;1;0
WEDNESDAY;9;6;1;1;1;1;2;0;0
TUESDAY  ;1;7;6;1;1;1;1;0;0
SATURDAY ;6;7;5;1;3;1;2;0;0
THURSDAY ;12;7;17;1;2;1;1;0;0
THURSDAY ;5;7;0;1;1;1;1;0;0
THURSDAY ;5;7;22;1;1;1;1;0;0
MONDAY   ;5;6;71;1;2;1;1;1;0
THURSDAY ;1;7;24;1;5;1;2;0;0
FRIDAY   ;6;7;1;1;1;1;2;0;0
SATURDAY ;5;6;10;1;1;1;2;0;0
WEDNESDAY;8;6;50;1;4;1;2;0;0
SUNDAY   ;8;7;10;1;6;1;1;1;0
TUESDAY  ;3;7;7;1;4;1;2;1;0
TUESDAY  ;9;7;7;1;1;1;1;0;0
MONDAY   ;10;7;18;1;2;1;2;0;0
TUESDAY  ;1;7;43;1;2;1;1;0;0
WEDNESDAY;9;13;41;1;1;1;1;0;0
SATURDAY ;3;7;1;1;1;1;2;0;0
SATURDAY ;7;6;0;1;1;1;1;0;0
TUESDAY  ;7;13;13;1;2;1;1;0;0
FRIDAY   ;6;6;58;1;7;1;1;0;0
TUESDAY  ;8;7;0;1;7;1;2;0;0
WEDNESDAY;3;7;15;1;1;1;1;0;0
SUNDAY   ;4;7;10;1;6;1;1;0;0
WEDNESDAY;8;7;0;1;2;1;2;0;0
SUNDAY   ;7;13;10;1;1;1;1;0;0
SATURDAY ;9;7;11;1;6;1;2;0;0
TUESDAY  ;7;7;15;1;2;1;2;0;0
MONDAY   ;2;7;6;1;1;1;1;0;0
THURSDAY ;8;7;11;1;1;1;1;0;0
MONDAY   ;8;7;39;1;10;1;2;1;0
SATURDAY ;3;7;54;1;1;1;2;0;0
TUESDAY  ;9;6;15;1;1;1;1;0;0
WEDNESDAY;4;7;15;1;3;1;1;0;0
THURSDAY ;5;6;0;1;1;1;2;0;0
FRIDAY   ;8;7;36;1;1;1;2;0;0
MONDAY   ;6;6;1;1;1;1;2;0;0
TUESDAY  ;9;7;26;1;1;1;1;0;0
THURSDAY ;2;7;8;1;3;1;2;0;0
TUESDAY  ;5;13;40;1;1;1;1;0;0
FRIDAY   ;9;6;59;1;2;1;2;0;0
SATURDAY ;2;7;3;1;1;1;2;0;0
MONDAY   ;1;7;41;1;1;1;1;0;0
MONDAY   ;5;6;30;1;1;1;3;0;0
MONDAY   ;6;13;55;1;4;1;1;0;0
SATURDAY ;1;7;7;1;7;1;1;0;0
WEDNESDAY;7;6;66;1;3;1;2;0;0
FRIDAY   ;7;7;0;1;1;1;1;0;0
WEDNESDAY;7;7;9;1;4;1;1;0;0
SUNDAY   ;3;7;31;1;3;1;1;0;0
SATURDAY ;7;7;0;1;3;1;2;0;0
MONDAY   ;9;7;13;1;1;1;1;0;0
SUNDAY   ;6;6;8;1;2;1;2;0;0
MONDAY   ;2;7;2;1;2;1;2;0;0
WEDNESDAY;4;7;15;1;4;1;1;0;0
SATURDAY ;7;7;137;1;3;1;2;0;0
FRIDAY   ;3;6;5;1;1;1;2;0;0
TUESDAY  ;8;7;8;1;5;1;1;1;0
SATURDAY ;1;7;9;1;1;1;2;0;0
WEDNESDAY;6;7;29;1;3;1;1;0;0
MONDAY   ;4;7;4;1;2;1;1;0;0
THURSDAY ;5;7;29;1;7;1;2;0;0
THURSDAY ;7;7;8;1;2;1;1;0;0
SATURDAY ;10;7;1;1;2;1;2;0;0
FRIDAY   ;8;7;22;1;3;1;2;0;0
SUNDAY   ;4;6;1;1;1;1;2;0;0
FRIDAY   ;7;7;18;1;1;1;1;0;0
FRIDAY   ;4;7;3;1;2;1;1;0;0
MONDAY   ;1;7;3;1;5;1;1;0;0
THURSDAY ;7;7;1;1;4;1;1;0;0
FRIDAY   ;4;7;4;1;2;1;2;0;0
WEDNESDAY;9;7;21;1;4;1;1;0;0
FRIDAY   ;5;7;0;1;2;1;2;0;0
THURSDAY ;1;7;6;1;1;1;2;0;0
TUESDAY  ;9;6;0;1;1;1;2;0;0
WEDNESDAY;7;7;9;1;2;1;2;0;0
SUNDAY   ;2;7;1;1;6;1;1;0;0
FRIDAY   ;9;6;5;1;1;1;1;0;0
WEDNESDAY;1;7;110;1;4;1;2;0;0
SUNDAY   ;9;6;24;1;3;1;2;0;0
SATURDAY ;4;7;30;1;7;1;1;2;0
THURSDAY ;10;7;17;1;3;1;1;0;0
FRIDAY   ;4;7;23;1;2;1;1;0;0
MONDAY   ;1;7;11;1;1;1;2;0;0
WEDNESDAY;3;7;1;1;3;1;1;0;0
FRIDAY   ;2;7;29;1;2;1;1;0;0
SATURDAY ;7;6;17;1;1;1;2;0;0
WEDNESDAY;5;7;7;1;3;1;1;0;0
SUNDAY   ;4;7;4;1;6;1;1;0;0
TUESDAY  ;6;6;2;1;1;1;2;0;0
WEDNESDAY;8;7;0;1;2;1;3;0;0
THURSDAY ;9;6;30;1;3;1;2;0;0
WEDNESDAY;4;7;1;1;1;1;2;0;0
MONDAY   ;6;6;0;1;1;1;2;0;0
SUNDAY   ;9;7;22;1;4;1;2;0;0
SUNDAY   ;6;7;11;1;3;1;2;0;0
TUESDAY  ;6;7;6;1;15;1;2;0;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
TUESDAY  ;8;7;1;1;1;1;2;1;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
SATURDAY ;3;6;7;1;1;1;2;0;0
SUNDAY   ;7;7;0;1;1;1;1;0;0
TUESDAY  ;9;6;15;1;1;1;1;0;0
THURSDAY ;8;6;16;1;1;1;2;0;0
SATURDAY ;9;7;10;1;3;1;1;0;0
THURSDAY ;9;7;1;1;3;1;2;0;0
SATURDAY ;5;7;5;1;3;1;1;0;0
SATURDAY ;7;7;162;1;1;1;2;0;0
TUESDAY  ;10;7;38;1;3;1;2;0;0
SUNDAY   ;7;7;82;1;3;1;2;0;0
TUESDAY  ;3;6;61;1;4;1;1;0;0
MONDAY   ;10;6;21;1;1;1;2;0;0
MONDAY   ;5;7;5;1;4;1;2;0;0
SATURDAY ;5;6;44;1;1;1;2;0;0
SUNDAY   ;4;7;152;1;8;1;2;2;0
SATURDAY ;5;6;215;1;3;1;2;0;0
FRIDAY   ;6;6;0;1;2;1;2;0;0
SATURDAY ;7;7;5;1;6;1;1;0;0
SUNDAY   ;10;7;45;1;3;1;1;0;0
WEDNESDAY;2;6;2;1;1;1;1;0;0
SUNDAY   ;2;7;17;1;3;1;1;0;0
FRIDAY   ;7;6;27;1;3;1;2;0;0
TUESDAY  ;1;7;43;1;5;1;1;0;0
WEDNESDAY;8;7;6;1;4;1;1;0;0
WEDNESDAY;1;7;7;1;2;1;1;0;0
WEDNESDAY;8;6;23;1;1;1;2;1;0
SATURDAY ;1;7;24;1;3;1;2;0;0
FRIDAY   ;5;7;4;1;3;1;1;0;0
SUNDAY   ;3;13;17;1;4;1;1;0;0
SATURDAY ;6;6;3;1;1;1;2;0;0
SATURDAY ;9;7;0;1;1;1;2;0;0
SATURDAY ;6;7;59;1;6;1;3;0;0
FRIDAY   ;6;13;57;1;6;1;1;0;0
WEDNESDAY;9;7;7;1;4;1;2;0;0
FRIDAY   ;12;7;0;1;2;1;1;0;0
SUNDAY   ;1;7;23;1;1;1;1;0;0
MONDAY   ;8;7;57;1;3;1;2;0;0
MONDAY   ;1;7;65;1;1;1;1;0;0
FRIDAY   ;6;6;28;1;3;1;2;0;0
WEDNESDAY;5;6;14;1;2;1;1;0;0
MONDAY   ;10;7;5;1;3;1;1;0;0
WEDNESDAY;5;6;42;1;3;1;2;0;0
MONDAY   ;3;6;0;1;1;1;1;0;0
THURSDAY ;5;7;22;1;1;1;1;0;0
SUNDAY   ;8;7;1;1;3;1;3;0;0
WEDNESDAY;5;7;1;1;2;1;1;0;0
THURSDAY ;7;6;2;1;2;1;2;0;0
SATURDAY ;1;7;16;1;1;1;2;0;0
FRIDAY   ;7;7;11;1;1;1;1;0;0
THURSDAY ;9;7;3;1;1;1;1;0;0
MONDAY   ;3;13;18;1;2;1;1;0;0
TUESDAY  ;6;7;0;1;1;1;1;0;0
TUESDAY  ;4;7;71;1;2;1;1;0;0
THURSDAY ;2;7;1;1;1;1;1;0;0
SUNDAY   ;8;6;44;1;6;1;2;0;0
THURSDAY ;10;7;8;1;2;1;1;0;0
FRIDAY   ;6;7;2;1;3;1;1;1;0
SUNDAY   ;6;7;38;1;2;1;1;0;0
FRIDAY   ;1;7;3;1;1;1;1;0;0
SUNDAY   ;5;6;48;1;2;1;2;0;0
SATURDAY ;5;6;42;1;2;1;2;0;0
THURSDAY ;9;6;37;1;3;1;2;0;0
SUNDAY   ;9;7;58;1;2;1;1;0;0
WEDNESDAY;8;6;18;1;2;1;2;1;0
MONDAY   ;5;7;3;1;4;1;1;0;0
WEDNESDAY;1;7;24;1;5;1;1;0;0
MONDAY   ;4;7;21;1;2;1;1;0;0
